country,name,Bronze,Silver,Gold
Argentina,Sergio Agüero,0,0,1
Argentina,Sergio Romero,0,0,1
Argentina,Tranquilo Capozzo,0,0,1
Argentina,Víctor Avendaño,0,0,1
Argentina,Walter Herrmann,0,0,1
Argentina,Walter Pérez,0,0,1
Argentina,Ángel Di María,0,0,1
Argentina,Éver Banega,0,0,1
Argentina,Óscar Casanovas,0,0,1
Argentina,Óscar Ustari,0,0,1
Argentina,Carlos Espínola,2,2,0
Argentina,Lucha Aymar,2,2,0
Argentina,Noel Barrionuevo,1,2,0
Argentina,Agustina Albertario,0,2,0
Argentina,Delfina Merino,0,2,0
Argentina,Florencia Habif,0,2,0
Argentina,Rocío Sánchez,0,2,0
Argentina,Sofía Maccari,0,2,0
Argentina,Magdalena Aicega,2,1,0
Argentina,Maripi Hernández,2,1,0
Argentina,Mechi Margalot,2,1,0
Argentina,Paola Vukojicic,2,1,0
Argentina,Sole García,2,1,0
Argentina,Alberto Demiddi,1,1,0
Argentina,Ayelén Stepnik,1,1,0
Argentina,Belén Succi,1,1,0
Argentina,Carla Rebecchi,1,1,0
Argentina,Ceci Rognoni,1,1,0
Argentina,Ezequiel Palacios,1,1,0
Argentina,Humberto Selvetti,1,1,0
Argentina,Inés Arrondo,1,1,0
Argentina,Juan Martín del Potro,1,1,0
Argentina,Mariela Antoniska,1,1,0
Argentina,Rosario Luchetti,1,1,0
Argentina,Vanina Oneto,1,1,0
Argentina,Agos Alonso,0,1,0
Argentina,Agustina Gorzelany,0,1,0
Argentina,Alfredo Carricaberry,0,1,0
Argentina,Alfredo Copello,0,1,0
Argentina,Amado Azar,0,1,0
Argentina,Anabel Gambero,0,1,0
Argentina,Antonio Pacenza,0,1,0
Argentina,Ariel Ortega,0,1,0
Argentina,Carlos Bossio,0,1,0
Argentina,Carlos Enrique Díaz Sáenz Valiente,0,1,0
Argentina,Carlos Moratorio,0,1,0
Argentina,Christian Bassedas,0,1,0
Argentina,Claudio López,0,1,0
Argentina,Dani Sruoga,0,1,0
Argentina,Diego Simeone,0,1,0
Argentina,Domingo Tarasconi,0,1,0
Argentina,Emilio Homps,0,1,0
Argentina,Enrique Gainzarain,0,1,0
Argentina,Enrique Sieburger Hadler,0,1,0
Argentina,Enrique Sieburger Lammerhirt,0,1,0
Argentina,Feliciano Perducca,0,1,0
Argentina,Fernanda Russo,0,1,0
Argentina,Fernando Paternoster,0,1,0
Argentina,Flor Mutio,0,1,0
Argentina,Gabriela Sabatini,0,1,0
Argentina,Guillermo Lovell,0,1,0
Argentina,Gustavo López,0,1,0
Argentina,Hernán Crespo,0,1,0
Argentina,Hugo Morales,0,1,0
Argentina,Héctor Calegaris,0,1,0
Argentina,Héctor Méndez,0,1,0
Argentina,Héctor Pineda,0,1,0
Argentina,Javier Zanetti,0,1,0
Argentina,Jeanette Campbell,0,1,0
Argentina,Jorge Alberto Salas,0,1,0
Argentina,Jorge Alberto del Río,0,1,0
Argentina,Jorgelina Rimoldi,0,1,0
Argentina,Jose Sruoga,0,1,0
Argentina,José Antonio Chamot,0,1,0
Argentina,Juan Evaristo,0,1,0
Argentina,Julio Sieburger,0,1,0
Argentina,Karina Masotta,0,1,0
Argentina,Laura Maiztegui,0,1,0
Argentina,Ludovico Bidoglio,0,1,0
Argentina,Luis Brunetto,0,1,0
Argentina,Luis Felipe Monti,0,1,0
Argentina,Macarena Rodríguez,0,1,0
Argentina,Majo Granatto,0,1,0
Argentina,Manuel Ferreira,0,1,0
Argentina,Marcelo Delgado,0,1,0
Argentina,Marcelo Gallardo,0,1,0
Argentina,Martina Cavallero,0,1,0
Argentina,Maru Scarone,0,1,0
Argentina,María Emilia Forcherio,0,1,0
Argentina,María Paz Ferrari,0,1,0
Argentina,Matías Almeyda,0,1,0
Argentina,Noemí Simonetto de Portela,0,1,0
Argentina,Octavio Díaz,0,1,0
Argentina,Pablo Cavallero,0,1,0
Argentina,Pablo Paz,0,1,0
Argentina,Raimundo Orsi,0,1,0
Argentina,Raúl Landini,0,1,0
Argentina,Reinaldo Gorno,0,1,0
Argentina,Roberto Cherro,0,1,0
Argentina,Roberto Sensini,0,1,0
Argentina,Rodolfo Orlandini,0,1,0
Argentina,Rodolfo Rivademar,0,1,0
Argentina,Rufino Rodríguez de la Torre,0,1,0
Argentina,Saúl Calandra,0,1,0
Argentina,Silvina D'Elia,0,1,0
Argentina,Valentina Costa,0,1,0
Argentina,Valentina Raposo,0,1,0
Argentina,Vicky Granatto,0,1,0
Argentina,Vicky Sauze,0,1,0
Argentina,Víctor Peralta,0,1,0
Argentina,Ángel Bossio,0,1,0
Argentina,Ángel Segundo Médici,0,1,0
Argentina,Alejandra Gulla,2,0,0
Argentina,Claudia Burkart,2,0,0
Argentina,Juan de la Fuente,2,0,0
Argentina,Mariana González,2,0,0
Argentina,Mariné Russo,2,0,0
Argentina,Abel Laudonio,1,0,0
Argentina,Agustín Loser,1,0,0
Argentina,Alejandro Diz,1,0,0
Argentina,Alfredo Porzio,1,0,0
Argentina,Antonio Porta,1,0,0
Argentina,Bruno Lima,1,0,0
Argentina,Carlos Weber,1,0,0
Argentina,Carmelo Camet,1,0,0
Argentina,Christian Miniussi,1,0,0
Argentina,Claudio Zulianello,1,0,0
Argentina,Cristian Poglajen,1,0,0
Argentina,Daniel Castellani,1,0,0
Argentina,Daniel Colla,1,0,0
Argentina,Eduardo Martínez,1,0,0
Argentina,Eladio Herrera,1,0,0
Argentina,Facundo Conte,1,0,0
Argentina,Fede Pereyra,1,0,0
Argentina,Federico Kammerichs,1,0,0
Argentina,Felipe Del Mestre,1,0,0
Argentina,Francisco Risiglione,1,0,0
Argentina,Gastón Revol,1,0,0
Argentina,Georgina Bardach,1,0,0
Argentina,Germán Schulz,1,0,0
Argentina,Gisi Kañevsky,1,0,0
Argentina,Horacio Podestá,1,0,0
Argentina,Hugo Conte,1,0,0
Argentina,Héctor Lucchetti,1,0,0
Argentina,Javier Conte,1,0,0
Argentina,Javier Frana,1,0,0
Argentina,Jon Emili Uriarte,1,0,0
Argentina,José De Palma,1,0,0
Argentina,Juan Carlos Cuminetti,1,0,0
Argentina,Juan Pedro Gutiérrez,1,0,0
Argentina,Julio Curatella,1,0,0
Argentina,Lucas Calabrese,1,0,0
Argentina,Luciano De Cecco,1,0,0
Argentina,Luciano González,1,0,0
Argentina,Luis Lucchetti,1,0,0
Argentina,Mariana Rossi,1,0,0
Argentina,Marina Di Giacomo,1,0,0
Argentina,Mario Guilloti,1,0,0
Argentina,Martín Ramos,1,0,0
Argentina,Matías Osadczuk,1,0,0
Argentina,Matías Sánchez,1,0,0
Argentina,Mauro Cía,1,0,0
Argentina,Pablo Chacón,1,0,0
Argentina,Pablo Prigioni,1,0,0
Argentina,Paola Suárez,1,0,0
Argentina,Paolo Quinteros,1,0,0
Argentina,Patricia Tarabini,1,0,0
Argentina,Pedro Quartucci,1,0,0
Argentina,Raúl Anganuzzi,1,0,0
Argentina,Raúl Quiroga,1,0,0
Argentina,Raúl Villarreal,1,0,0
Argentina,Roberto Larraz,1,0,0
Argentina,Rodrigo Etchart,1,0,0
Argentina,Rodrigo Isgro,1,0,0
Argentina,Román González,1,0,0
Argentina,Santi Danani,1,0,0
Argentina,Santiago Mare,1,0,0
Argentina,Santiago Álvarez,1,0,0
Argentina,Sebastián Solé,1,0,0
Argentina,Serena Amato,1,0,0
Argentina,Víctor Zalazar,1,0,0
Argentina,Waldo Kantor,1,0,0
Armenia,Simon Martirosyan,0,2,1
Armenia,Artur Aleksanyan,1,1,1
Armenia,Armen Nazaryan,0,0,1
Armenia,Gor Minasyan,0,2,0
Armenia,Armen Mkrtchyan,0,1,0
Armenia,Arsen Julfalakyan,0,1,0
Armenia,Hrachik Babayan,0,1,0
Armenia,Migran Arutyunyan,0,1,0
Armenia,Tigran Varban Martirosyan,0,1,0
Armenia,Arsen Melikyan,1,0,0
Armenia,Artur Davtyan,1,0,0
Armenia,Gevorg Davtyan,1,0,0
Armenia,Hovhannes Bachkov,1,0,0
Armenia,Hrachik Javakhyan,1,0,0
Armenia,Roman Amoyan,1,0,0
Armenia,Yury Patrikeyev,1,0,0
Australia,Emma McKeon,7,4,6
Australia,Ian Thorpe,1,3,5
Australia,Dawn Fraser,0,4,4
Australia,Cate Campbell,3,1,4
Australia,Murray Rose,1,1,4
Australia,Betty Cuthbert,0,0,4
Australia,Leisel Jones,1,5,3
Australia,Petria Thomas,1,4,3
Australia,Emily Seebohm,1,3,3
Australia,Grant Hackett,1,3,3
Australia,Madi Wilson,2,2,3
Australia,Andrew Hoy,1,2,3
Australia,Libby Trickett,1,1,3
Australia,Shane Gould,1,1,3
Australia,Drew Ginn,0,1,3
Australia,Matt Ryan,0,1,3
Australia,James Tomkins,1,0,3
Australia,Shirley Strickland de la Hunty,1,0,3
Australia,Jodie Henry,0,0,3
Australia,Rechelle Hawkes,0,0,3
Australia,Steph Rice,0,0,3
Australia,Susie O'Neill,2,4,2
Australia,Michael Klim,1,3,2
Australia,Brittany Elmslie,0,3,2
Australia,Mel Schlanger,1,2,2
Australia,Kieren Perkins,0,2,2
Australia,Lorraine Crapp,0,2,2
Australia,Anna Meares,3,1,2
Australia,Jess Fox,2,1,2
Australia,Ariarne Titmus,1,1,2
Australia,John Devitt,1,1,2
Australia,Mike McKay,1,1,2
Australia,Mike Wenden,1,1,2
Australia,David Theile,0,1,2
Australia,Mathew Belcher,0,1,2
Australia,Todd Pearson,0,1,2
Australia,Jess Schipper,2,0,2
Australia,Alice Mills,1,0,2
Australia,Bronte Campbell,1,0,2
Australia,Mollie O'Callaghan,1,0,2
Australia,Teddy Flack,1,0,2
Australia,Alyson Annan,0,0,2
Australia,Bobby Pearce,0,0,2
Australia,Clover Maitland,0,0,2
Australia,Felicity Galvez,0,0,2
Australia,Gillian Rolton,0,0,2
Australia,Graeme Brown,0,0,2
Australia,Jackie Pereira,0,0,2
Australia,Jenny Morris,0,0,2
Australia,Jon Henricks,0,0,2
Australia,Juliet Haslam,0,0,2
Australia,Kate Starre,0,0,2
Australia,Laurie Morgan,0,0,2
Australia,Liane Tooth,0,0,2
Australia,Malcolm Page,0,0,2
Australia,Marjorie Jackson,0,0,2
Australia,Michael Diamond,0,0,2
Australia,Nick Green,0,0,2
Australia,Phillip Dutton,0,0,2
Australia,Russell Mockridge,0,0,2
Australia,Ryan Bayley,0,0,2
Australia,Triny Powell,0,0,2
Australia,Alicia Coutts,1,3,1
Australia,Boy Charlton,1,3,1
Australia,Bronte Barratt,1,2,1
Australia,Jared Tallent,1,2,1
Australia,Adam Pine,0,2,1
Australia,Giaan Rooney,0,2,1
Australia,Sarah Ryan,0,2,1
Australia,Kyle Chalmers,7,1,1
Australia,Brad McGee,3,1,1
Australia,Bob Windle,2,1,1
Australia,Daniel Kowalski,2,1,1
Australia,Dean Woods,2,1,1
Australia,Stuart O'Grady,2,1,1
Australia,Brett Aitken,1,1,1
Australia,Cecil Healy,1,1,1
Australia,Clint Robinson,1,1,1
Australia,Merv Wood,1,1,1
Australia,Neil Brooks,1,1,1
Australia,Alex Hill,0,1,1
Australia,Angie Bainbridge,0,1,1
Australia,Brooke Hanson,0,1,1
Australia,Cathy Freeman,0,1,1
Australia,Dale Begg-Smith,0,1,1
Australia,Daniel Beale,0,1,1
Australia,Duncan Armstrong,0,1,1
Australia,Iain Jensen,0,1,1
Australia,Kate Slatter,0,1,1
Australia,Kathy Watt,0,1,1
Australia,Kylie Palmer,0,1,1
Australia,Lionel Cox,0,1,1
Australia,Lyn McClements,0,1,1
Australia,Mark Woodforde,0,1,1
Australia,Nathan Outteridge,0,1,1
Australia,Neale Lavis,0,1,1
Australia,Russell Mark,0,1,1
Australia,Tarnee White,0,1,1
Australia,Todd Woodbridge,0,1,1
Australia,Torah Bright,0,1,1
Australia,Will Ryan,0,1,1
Australia,Brianna Throssell,9,0,1
Australia,Peter Evans,3,0,1
Australia,Stan Rowley,3,0,1
Australia,Bill Roycroft,2,0,1
Australia,Harold Hardwick,2,0,1
Australia,Jamie Dwyer,2,0,1
Australia,John Konrads,2,0,1
Australia,Ken Wallace,2,0,1
Australia,Liam De Young,2,0,1
Australia,Mark Kerry,2,0,1
Australia,Mark Knowles,2,0,1
Australia,Matt Wells,2,0,1
Australia,Alisa Camplin,1,0,1
Australia,Ashley Callus,1,0,1
Australia,Bevan George,1,0,1
Australia,Beverley Whitfield,1,0,1
Australia,Brent Livermore,1,0,1
Australia,Chantelle Newbery,1,0,1
Australia,Dunc Gray,1,0,1
Australia,Duncan Free,1,0,1
Australia,Faith Leech,1,0,1
Australia,Grant Schubert,1,0,1
Australia,Ian O'Brien,1,0,1
Australia,Jon Sieben,1,0,1
Australia,Kerri-Ann Pottharst,1,0,1
Australia,Kevin Berry,1,0,1
Australia,Libby Lenton,1,0,1
Australia,Lydia Lassila,1,0,1
Australia,Mack Horton,1,0,1
Australia,Meg Harris,1,0,1
Australia,Michael Brennan,1,0,1
Australia,Michelle Ford,1,0,1
Australia,Natalie Cook,1,0,1
Australia,Rob Hammond,1,0,1
Australia,Scott McGrory,1,0,1
Australia,Shayne Reese,1,0,1
Australia,Steven Bradbury,1,0,1
Australia,Stuart Tinney,1,0,1
Australia,Travis Brooks,1,0,1
Australia,Troy Elder,1,0,1
Australia,Zac Stubblety-Cook,1,0,1
Australia,Alexander Purnell,0,0,1
Australia,Alicia Quirk,0,0,1
Australia,Alison Peek,0,0,1
Australia,Amy Turner,0,0,1
Australia,Andrew Cooper,0,0,1
Australia,Angie Skirving,0,0,1
Australia,Annabelle McIntyre,0,0,1
Australia,Arthur McCabe,0,0,1
Australia,Belinda Stowell,0,0,1
Australia,Bill Kirby,0,0,1
Australia,Bill Northam,0,0,1
Australia,Bob Craig,0,0,1
Australia,Brad Cooper,0,0,1
Australia,Brett Lancaster,0,0,1
Australia,Brian Crago,0,0,1
Australia,Bridgette Gusterson,0,0,1
Australia,Bronwyn Smith,0,0,1
Australia,Catherine Skinner,0,0,1
Australia,Charles McMurtrie,0,0,1
Australia,Charles Russell,0,0,1
Australia,Charlotte Caslick,0,0,1
Australia,Chloe Dalton,0,0,1
Australia,Chloe Esposito,0,0,1
Australia,Chris Fydler,0,0,1
Australia,Chris McKivat,0,0,1
Australia,Claire Mitchell-Taverner,0,0,1
Australia,Clare Dennis,0,0,1
Australia,Damien Hooper,0,0,1
Australia,Dan Carroll,0,0,1
Australia,Danielle Woodhouse,0,0,1
Australia,Danni Roche,0,0,1
Australia,Dave Smith,0,0,1
Australia,David Crawshay,0,0,1
Australia,David Forbes,0,0,1
Australia,David Green,0,0,1
Australia,Dean Butler,0,0,1
Australia,Dean Lukin,0,0,1
Australia,Debbie Flintoff-King,0,0,1
Australia,Debbie Watson,0,0,1
Australia,Deborah Bowman,0,0,1
Australia,Dick Eve,0,0,1
Australia,Dick Sargeant,0,0,1
Australia,Elise Rechichi,0,0,1
Australia,Ellia Green,0,0,1
Australia,Elspeth Clement,0,0,1
Australia,Emilee Cherry,0,0,1
Australia,Emma Snowsill,0,0,1
Australia,Emma Tonegato,0,0,1
Australia,Evania Pelite,0,0,1
Australia,Fanny Durack,0,0,1
Australia,Fleur Mellor,0,0,1
Australia,Frank Smith,0,0,1
Australia,Gail Miller,0,0,1
Australia,Gail Neall,0,0,1
Australia,Gemma Etheridge,0,0,1
Australia,Glynis Nunn,0,0,1
Australia,Herb Elliott,0,0,1
Australia,Jack Hargreaves,0,0,1
Australia,Jack Hickey,0,0,1
Australia,Jack Winter,0,0,1
Australia,Jacob Clear,0,0,1
Australia,Jakara Anthony,0,0,1
Australia,Jean van der Westhuyzen,0,0,1
Australia,Jenny Armstrong,0,0,1
Australia,Jessica Morrison,0,0,1
Australia,Jessica Thornton,0,0,1
Australia,Joanne Fox,0,0,1
Australia,Joey Browne,0,0,1
Australia,John Anderson,0,0,1
Australia,John Barnett,0,0,1
Australia,John Cuneo,0,0,1
Australia,John Davies,0,0,1
Australia,John Shaw,0,0,1
Australia,Josie Baff,0,0,1
Australia,Julie Towers,0,0,1
Australia,Karen Marsden,0,0,1
Australia,Kate Hooper,0,0,1
Australia,Kathleen Partridge,0,0,1
Australia,Katie Allen,0,0,1
Australia,Keegan Palmer,0,0,1
Australia,Kevin Nichols,0,0,1
Australia,Kevin O'Halloran,0,0,1
Australia,Kim Crow-Brennan,0,0,1
Australia,Kim Small,0,0,1
Australia,Lara Davenport,0,0,1
Australia,Lauren Burns,0,0,1
Australia,Lee Capes,0,0,1
Australia,Les Boardman,0,0,1
Australia,Linda MacKenzie,0,0,1
Australia,Lisa Carruthers,0,0,1
Australia,Lisa Powell,0,0,1
Australia,Liz Weekes,0,0,1
Australia,Logan Martin,0,0,1
Australia,Loretta Dorman,0,0,1
Australia,Lorraine Hillas,0,0,1
Australia,Louise Dobson,0,0,1
Australia,Lucy Stephan,0,0,1
Australia,Luke Roberts,0,0,1
Australia,Malcolm Champion,0,0,1
Australia,Mannie McArthur,0,0,1
Australia,Maree Fish,0,0,1
Australia,Mark Hickman,0,0,1
Australia,Mark Tonelli,0,0,1
Australia,Mark Turnbull,0,0,1
Australia,Matt Mitcham,0,0,1
Australia,Matthew Wearn,0,0,1
Australia,Maureen Caird,0,0,1
Australia,Megan Still,0,0,1
Australia,Melissa Mills,0,0,1
Australia,Michael Grenda,0,0,1
Australia,Michael McCann,0,0,1
Australia,Michelle Capes,0,0,1
Australia,Mike Turtur,0,0,1
Australia,Murray Stewart,0,0,1
Australia,Naomi Castle,0,0,1
Australia,Nathan Eglington,0,0,1
Australia,Nathan Wilmot,0,0,1
Australia,Nick Winter,0,0,1
Australia,Nicole Beck,0,0,1
Australia,Nikki Hudson,0,0,1
Australia,Norma Croker,0,0,1
Australia,Nova Peris-Kneebone,0,0,1
Australia,Paddy McCue,0,0,1
Australia,Peter Antonie,0,0,1
Australia,Peter Dawson,0,0,1
Australia,Peter O'Donnell,0,0,1
Australia,Phil Carmichael,0,0,1
Australia,Rachel Imison,0,0,1
Australia,Ralph Doubell,0,0,1
Australia,Renita Farrell,0,0,1
Australia,Renita Garard,0,0,1
Australia,Rosemary Popa,0,0,1
Australia,Sally Carbon,0,0,1
Australia,Sally Pearson,0,0,1
Australia,Sandra Morgan,0,0,1
Australia,Sandra Pisani,0,0,1
Australia,Sara Carrigan,0,0,1
Australia,Scott Brennan,0,0,1
Australia,Shannon Parry,0,0,1
Australia,Sharni Williams,0,0,1
Australia,Sharon Patmore,0,0,1
Australia,Shelley Andrews,0,0,1
Australia,Simon Fairweather,0,0,1
Australia,Simone Hankin,0,0,1
Australia,Spencer Turrin,0,0,1
Australia,Stephen Mowlam,0,0,1
Australia,Stephen Wooldridge,0,0,1
Australia,Steve Hawkins,0,0,1
Australia,Steve Hooker,0,0,1
Australia,Suzy Balogh,0,0,1
Australia,Syd Middleton,0,0,1
Australia,Taryn Woods,0,0,1
Australia,Tate Smith,0,0,1
Australia,Tessa Parkinson,0,0,1
Australia,Tom Anderson,0,0,1
Australia,Tom Burton,0,0,1
Australia,Tom Green,0,0,1
Australia,Tom Griffin,0,0,1
Australia,Tom King,0,0,1
Australia,Tom Richards,0,0,1
Australia,Tom Slingsby,0,0,1
Australia,Tony Marchant,0,0,1
Australia,Tracey Belbin,0,0,1
Australia,Wendy Schaeffer,0,0,1
Australia,Yolane Kukla,0,0,1
Australia,Yvette Higgins,0,0,1
Australia,Frank Beaurepaire,3,3,0
Australia,Kristi Harrower,1,3,0
Australia,Lauren Jackson,1,3,0
Australia,Raelene Boyle,0,3,0
Australia,Gary Neiwand,2,2,0
Australia,Anthony Edwards,1,2,0
Australia,Belinda Snell,1,2,0
Australia,Brenton Rickard,1,2,0
Australia,Christian Sprenger,1,2,0
Australia,Eamon Sullivan,1,2,0
Australia,Mark Stockwell,1,2,0
Australia,Matt Welsh,1,2,0
Australia,Rachael Sporn,1,2,0
Australia,Sandy Brondello,1,2,0
Australia,Shane Rose,1,2,0
Australia,Suzy Batkovic,1,2,0
Australia,Trish Fallon,1,2,0
Australia,Darren Bundock,0,2,0
Australia,Jack Bobridge,0,2,0
Australia,Josh Dunkley-Smith,0,2,0
Australia,Laura Summerton,0,2,0
Australia,Madeline Groves,0,2,0
Australia,Michael Hepburn,0,2,0
Australia,Michelle Ferris,0,2,0
Australia,Nathan Baggaley,0,2,0
Australia,Neville Hayes,0,2,0
Australia,Penny Taylor,0,2,0
Australia,Robert Haigh,0,2,0
Australia,Ron Riley,0,2,0
Australia,Simon Burgess,0,2,0
Australia,Will Lockwood,0,2,0
Australia,Melanie Roche,3,1,0
Australia,Natalie Ward,3,1,0
Australia,Tanya Harding,3,1,0
Australia,Andrew Lauterstein,2,1,0
Australia,Brooke Wilkins,2,1,0
Australia,Damon Diletti,2,1,0
Australia,Eddie Ockenden,2,1,0
Australia,Hayden Stoeckel,2,1,0
Australia,James Magnussen,2,1,0
Australia,Jay Stacy,2,1,0
Australia,Lachlan Dreher,2,1,0
Australia,Matt Targett,2,1,0
Australia,Michael York,2,1,0
Australia,Natalie Titcume,2,1,0
Australia,Nicole Stevenson,2,1,0
Australia,Peta Edebone,2,1,0
Australia,Sam Riley,2,1,0
Australia,Sandy Allen-Lewis,2,1,0
Australia,Shane Kelly,2,1,0
Australia,Shirley Strickland,2,1,0
Australia,Simmone Morrow,2,1,0
Australia,Stephen Davies,2,1,0
Australia,Andrew Trim,1,1,0
Australia,Brian Glencross,1,1,0
Australia,Cam Girdlestone,1,1,0
Australia,Carla Boyd,1,1,0
Australia,Danny Collins,1,1,0
Australia,Desmond Piper,1,1,0
Australia,Don Smart,1,1,0
Australia,Eric Pearce,1,1,0
Australia,Geoff Huegill,1,1,0
Australia,Greg Rogers,1,1,0
Australia,Hayley Lewis,1,1,0
Australia,James McRae,1,1,0
Australia,Jan Andrew,1,1,0
Australia,Jenni Screen,1,1,0
Australia,Jenny Whittle,1,1,0
Australia,John Forbes,1,1,0
Australia,John Marshall,1,1,0
Australia,Julian Pearce,1,1,0
Australia,Karsten Forsterling,1,1,0
Australia,Ken Wark,1,1,0
Australia,Kerry Wyborn,1,1,0
Australia,Kim Crow,1,1,0
Australia,Lachlan Elmer,1,1,0
Australia,Leah Neale,1,1,0
Australia,Mathew Helm,1,1,0
Australia,Melissa Wu,1,1,0
Australia,Michele Timms,1,1,0
Australia,Mitch Booth,1,1,0
Australia,Mitch Larkin,1,1,0
Australia,Pam Kilborn,1,1,0
Australia,Patrick Nilan,1,1,0
Australia,Paul Dearing,1,1,0
Australia,Paul Lewis,1,1,0
Australia,Ray Evans,1,1,0
Australia,Rohan Dennis,1,1,0
Australia,Sam Welsford,1,1,0
Australia,Scott Miller,1,1,0
Australia,Scotty James,1,1,0
Australia,Shelley Sandie,1,1,0
Australia,Stacey Porter,1,1,0
Australia,Stephen McGlede,1,1,0
Australia,Stuart Welch,1,1,0
Australia,Tamsin Cook,1,1,0
Australia,Tracey Mosley,1,1,0
Australia,Adrian Burnside,0,1,0
Australia,Alan Grover,0,1,0
Australia,Alastair Gordon,0,1,0
Australia,Alex Edmondson,0,1,0
Australia,Alexander Belonogoff,0,1,0
Australia,Alf Duval,0,1,0
Australia,Alicia Poto,0,1,0
Australia,Allison Tranquilli,0,1,0
Australia,Alva Colquhoun,0,1,0
Australia,Amanda Doman,0,1,0
Australia,Andrew Charter,0,1,0
Australia,Andrew Landenberger,0,1,0
Australia,Andrew Utting,0,1,0
Australia,Angela Kennedy,0,1,0
Australia,Annie La Fleur,0,1,0
Australia,Antony Matkovich,0,1,0
Australia,Aran Zalewski,0,1,0
Australia,Ash Delaney,0,1,0
Australia,Ashley Carey,0,1,0
Australia,Barry Dancer,0,1,0
Australia,Ben Cureton,0,1,0
Australia,Ben Wigmore,0,1,0
