country,name,Bronze,Silver,Gold
Afghanistan,Rohullah Nikpai,2,0,0
Algeria,Taoufik Makhloufi,0,2,1
Algeria,Hocine Soltani,1,0,1
Algeria,Hassiba Boulmerka,0,0,1
Algeria,Noureddine Morceli,0,0,1
Algeria,Nouria Mérah-Benida,0,0,1
Algeria,Ali Saïdi-Sief,0,1,0
Algeria,Amar Benikhlef,0,1,0
Algeria,Abderrahmane Hammad,1,0,0
Algeria,Djabir Saïd-Guerni,1,0,0
Algeria,Mohamed Allalou,1,0,0
Algeria,Mohamed Bahari,1,0,0
Algeria,Mohamed Zaoui,1,0,0
Algeria,Mustapha Moussa,1,0,0
Algeria,Soraya Haddad,1,0,0
Andorra,Joan Verdú,1,0,0
Argentina,Javier Mascherano,0,0,2
Argentina,Roberto Ayala,0,1,1
Argentina,Santiago Lange,2,0,1
Argentina,Andrés Nocioni,1,0,1
Argentina,Carlos Delfino,1,0,1
Argentina,Fabricio Oberto,1,0,1
Argentina,Leonardo Gutiérrez,1,0,1
Argentina,Luis Scola,1,0,1
Argentina,Manu Ginóbili,1,0,1
Argentina,Paula Pareto,1,0,1
Argentina,Agustín Mazzilli,0,0,1
Argentina,Alberto Lovell,0,0,1
Argentina,Alberto Zorrilla,0,0,1
Argentina,Alejandro Ariel Montecchia,0,0,1
Argentina,Andrés D'Alessandro,0,0,1
Argentina,Andrés Gazzotti,0,0,1
Argentina,Arturo Kenny,0,0,1
Argentina,Arturo Rodríguez,0,0,1
Argentina,Braian Toledo,0,0,1
Argentina,Carlos Tévez,0,0,1
Argentina,Carmelo Robledo,0,0,1
Argentina,Cecilia Carranza,0,0,1
Argentina,Clemente Rodríguez,0,0,1
Argentina,César Delgado,0,0,1
Argentina,Delfo Cabrera,0,0,1
Argentina,Diego Buonanotte,0,0,1
Argentina,Eduardo Guerrero,0,0,1
Argentina,Enrique Padilla,0,0,1
Argentina,Ezequiel Garay,0,0,1
Argentina,Ezequiel Lavezzi,0,0,1
Argentina,Fabián Monzón,0,0,1
Argentina,Fabricio Coloccini,0,0,1
Argentina,Facundo Callioni,0,0,1
Argentina,Federico Fazio,0,0,1
Argentina,Fernando Gago,0,0,1
Argentina,Gabriel Fernández,0,0,1
Argentina,Gabriel Heinze,0,0,1
Argentina,Germán Lux,0,0,1
Argentina,Gonzalo Peillat,0,0,1
Argentina,Guillermo Naylor,0,0,1
Argentina,Hugo Ariel Sconochini,0,0,1
Argentina,Ignacio Ortiz,0,0,1
Argentina,Isidoro Ibarra,0,0,1
Argentina,Jack Nelson,0,0,1
Argentina,Javier Saviola,0,0,1
Argentina,Joaquín Menini,0,0,1
Argentina,José Sosa,0,0,1
Argentina,Juan Carlos Zabala,0,0,1
Argentina,Juan Esteban Curuchet,0,0,1
Argentina,Juan Gilardi,0,0,1
Argentina,Juan Martín López,0,0,1
Argentina,Juan Miles,0,0,1
Argentina,Juan Riquelme,0,0,1
Argentina,Juan Saladino,0,0,1
Argentina,Juan Vivaldi,0,0,1
Argentina,Kily González,0,0,1
Argentina,Lautaro Acosta,0,0,1
Argentina,Lionel Messi,0,0,1
Argentina,Luca Masso,0,0,1
Argentina,Lucas Rey,0,0,1
Argentina,Lucas Rossi,0,0,1
Argentina,Lucas Vila,0,0,1
Argentina,Luis Duggan,0,0,1
Argentina,Luis González,0,0,1
Argentina,Manuel Andrada,0,0,1
Argentina,Manuel Brunet,0,0,1
Argentina,Mariano González,0,0,1
Argentina,Matías Paredes,0,0,1
Argentina,Matías Rey,0,0,1
Argentina,Mauro Rosales,0,0,1
Argentina,Nicolás Burdisso,0,0,1
Argentina,Nicolás Medina,0,0,1
Argentina,Nicolás Pareja,0,0,1
Argentina,Pablo Zabaleta,0,0,1
Argentina,Pascual Pérez,0,0,1
Argentina,Pedro Ibarra,0,0,1
Argentina,Pepe Sánchez,0,0,1
Argentina,Rafael Iglesias,0,0,1
Argentina,Roberto Cavanagh,0,0,1
Argentina,Rubén Wolkowyski,0,0,1
Argentina,Sebastián Crismanich,0,0,1
