year,Female,Male,ratio
1896,0,562,0.0
1900,44,2332,0.018518518518518517
1904,17,1863,0.009042553191489361
1906,11,2289,0.004782608695652174
1908,50,3640,0.013550135501355014
1912,91,4792,0.018636084374360026
1920,143,4402,0.031463146314631464
1924,247,5849,0.040518372703412076
1928,407,4834,0.07765693569929402
1932,228,2392,0.08702290076335878
1936,540,6523,0.07645476426447685
1948,741,6759,0.0988
1952,1746,8142,0.17657766990291263
1956,1196,5667,0.1742678129098062
1960,1767,7793,0.1848326359832636
1964,1807,7954,0.18512447495133696
1968,2313,8602,0.2119102153000458
1972,2695,9607,0.21907006990733213
1976,2718,8126,0.25064551825894504
1980,2252,6912,0.24574421649934527
1984,3070,8847,0.2576151716035915
1988,4447,10730,0.2930091585952428
1992,5269,11362,0.3168179904996693
1994,1120,2085,0.3494539781591264
1996,5058,8822,0.3644092219020173
1998,1414,2268,0.3840304182509506
2000,5478,8429,0.39390235133386065
2002,1603,2555,0.38552188552188554
2004,5609,7950,0.41367357474740024
2006,1776,2662,0.40018026137899954
2008,5862,7845,0.4276646968702123
2010,2258,2911,0.436834977751983
2012,6035,7352,0.4508104877866587
2014,2341,3191,0.42317425885755605
2016,6381,7645,0.45494082418365894
2018,2165,3022,0.4173896279159437
2020,8666,9272,0.483108484780912
2022,2152,2592,0.4536256323777403
