Country,Number of Athletes
"United
States",10114
"Great
Britain",6421
France,6339
Canada,5276
Italy,5189
Germany,4714
Japan,4609
Australia,4125
Sweden,3972
China,3128
Switzerland,3127
Poland,3064
Netherlands,3011
Hungary,2835
Spain,2825
"Republic
of Korea",2689
Russia,2654
Finland,2510
Austria,2399
Norway,2399
Brazil,2224
Belgium,2092
"Russian
Federation",2090
Denmark,2024
Argentina,1966
Romania,1905
Czechoslovakia,1888
Greece,1746
Mexico,1669
Bulgaria,1535
"New
Zealand",1478
"West
Germany",1464
Cuba,1296
Ukraine,1193
"East
Germany",1183
Yugoslavia,1164
"South
Africa",1078
Egypt,1037
India,957
Czechia,902
Türkiye,880
Ireland,856
Belarus,812
Portugal,781
Kazakhstan,773
Colombia,648
"Chinese
Taipei",613
Nigeria,608
"Puerto
Rico",587
Kenya,581
Venezuela,578
Chile,578
"Islamic
Republic
of Iran",576
Slovakia,542
Latvia,521
Slovenia,510
Thailand,498
Morocco,489
Croatia,452
Tunisia,447
ROC,435
Israel,422
"Democratic
People's
Republic
of Korea",415
Philippines,407
Jamaica,401
Estonia,399
Algeria,392
Luxembourg,380
Peru,370
Pakistan,368
Uruguay,368
"Hong
Kong,
China",351
Lithuania,343
Mongolia,325
Uzbekistan,325
Malaysia,310
Iceland,303
Indonesia,291
Ethiopia,259
Ghana,257
"Germany
West
Germany",257
"Dominican
Republic",256
Guatemala,253
Senegal,238
Serbia,233
Cameroon,230
"Unified
Team",200
Zimbabwe,197
Azerbaijan,196
Iraq,194
Kuwait,193
Uganda,191
"ROC
Russian
Federation",191
Georgia,186
Singapore,185
Lebanon,184
Ecuador,184
"Trinidad
and
Tobago",183
"East
Germany
Germany",179
"Kingdom
of Saudi
Arabia",174
Zambia,174
Angola,171
"The
Bahamas",165
"Costa
Rica",163
Honduras,156
Fiji,153
Armenia,153
"United
States
Virgin
Islands",152
Qatar,149
"Côte
d'Ivoire",147
"Serbia
and
Montenegro",145
Liechtenstein,141
"Republic
of Moldova",139
"Russian
Federation
Unified
Team",138
Kyrgyzstan,138
"Syrian
Arab
Republic",133
"El
Salvador",127
Cyprus,126
Bermuda,121
Bahrain,117
Vietnam,117
Barbados,116
"United
Republic
of Tanzania",112
"Soviet
Union
Unified
Team",109
Afghanistan,107
Paraguay,106
Nicaragua,102
